Nombre,Edad,Ciudad,Documento de Identidad,Fecha de Nacimiento,Teléfono,Dirección
Raquel Rodríguez Moreno,74,Bilbao,71876867W,02/10/1952,927609878,"Calle Real, 88, 8ºD"
Lucía López Alonso,40,Valladolid,21343297N,13/05/1986,657621186,"Plaza de España, 61, 1ºC"
Diego Martínez Sánchez,69,Vigo,48707488N,14/05/1957,725312371,"Calle del Sol, 49, 3ºB"
Pedro Sánchez Moreno,68,Barcelona,39682747J,13/05/1958,687804829,"Calle del Sol, 19, 8ºD"
María González González,44,Valencia,98902965F,26/09/1982,986691949,"Plaza de España, 52, 3ºA"
Sofía Martín López,34,Alicante,56682916K,14/11/1992,613626229,"Calle Real, 128, 2ºA"
Luis Rodríguez Jiménez,83,Zaragoza,83114170H,15/05/1943,939789661,"Calle Ancha, 77, 3ºC"
Diego González Muñoz,36,Palma,11937618V,29/07/1990,793340290,"Plaza de España, 63, 1ºA"
María Martínez Martínez,67,Alicante,17011680F,06/03/1959,741154139,"Plaza de España, 93, 4ºC"
Ana Romero Alonso,58,Málaga,29408548C,24/05/1968,926608284,"Calle del Sol, 146, 1ºB"
Diego Martínez Hernández,61,Madrid,44788334B,16/07/1965,651786744,"Calle Mayor, 129, 2ºC"
Sofía Romero Hernández,49,Bilbao,85607615H,11/11/1977,771849428,"Calle Ancha, 111, 7ºB"
María Alonso Martín,23,Vigo,78185768C,18/08/2003,720030233,"Calle Real, 80, 7ºA"
María Jiménez Sánchez,43,Gijón,86658849A,17/11/1983,960242000,"Calle del Sol, 53, 3ºB"
Carmen Pérez González,42,Córdoba,97929106D,30/06/1984,717169620,"Calle Ancha, 75, 1ºB"
Carlos Gómez Alonso,64,Murcia,10460261H,21/04/1962,975354029,"Calle Real, 128, 5ºD"
Ana Díaz Gutiérrez,78,Zaragoza,10960735G,19/11/1948,694430152,"Calle del Sol, 54, 1ºD"
Ricardo Romero Muñoz,54,Gijón,57653742W,29/04/1972,991721719,"Calle del Sol, 14, 8ºA"
Ricardo Álvarez Gutiérrez,58,Málaga,24667581C,05/07/1968,912115874,"Plaza de España, 73, 5ºB"
Lucía García Martín,73,Zaragoza,75765601F,26/01/1953,780213579,"Paseo de la Castellana, 83, 6ºC"
María Hernández Gómez,59,Gijón,23806764R,30/09/1967,681027715,"Avenida de la Constitución, 36, 3ºB"
Luis Jiménez Fernández,33,Murcia,91967662R,01/01/1993,632489145,"Calle Mayor, 139, 8ºC"
Juan Ruiz Rodríguez,29,Palma,47524310J,28/07/1997,967561426,"Avenida de Madrid, 64, 4ºB"
Sofía Gómez López,52,Alicante,69558568R,04/08/1974,740347414,"Calle Ancha, 118, 6ºC"
Luis López Sánchez,24,Sevilla,82928421T,03/07/2002,913302413,"Avenida de la Constitución, 22, 1ºD"
Ricardo López Muñoz,43,Bilbao,41209423L,04/12/1983,651749312,"Plaza de España, 70, 3ºC"
Miguel Fernández Díaz,75,Valladolid,20715876P,14/08/1951,629208748,"Calle Nueva, 118, 5ºC"
Ana García Alonso,19,Málaga,75474780A,06/07/2007,634566927,"Calle de la Paz, 50, 7ºB"
Luis Martín Pérez,75,Vigo,61000221Y,27/02/1951,965624433,"Calle Ancha, 29, 3ºD"
Fernando Sánchez Díaz,65,Valencia,15435880N,18/10/1961,791516586,"Calle Real, 55, 8ºD"
Luis Jiménez López,48,Murcia,40517534M,02/11/1978,611481568,"Calle Ancha, 32, 4ºD"
Carlos López Martínez,32,Murcia,93784179L,31/12/1994,732020162,"Calle Ancha, 22, 8ºB"
Paula Álvarez Muñoz,53,Bilbao,28990393H,28/03/1973,680392532,"Plaza de España, 117, 7ºA"
Miguel Romero Gómez,76,Barcelona,21018990E,03/12/1950,764481898,"Calle Mayor, 150, 7ºD"
Sofía Muñoz Sánchez,31,Murcia,98094921L,23/09/1995,715778806,"Calle Mayor, 57, 3ºC"
Luis Jiménez Alonso,53,Barcelona,44075620Y,22/06/1973,682441103,"Plaza de España, 150, 8ºC"
Fernando Díaz Moreno,62,Las Palmas,60732416P,21/12/1964,643654196,"Avenida de la Constitución, 34, 4ºD"
Raquel Martínez Rodríguez,78,Alicante,86690102F,11/11/1948,720669369,"Calle del Sol, 2, 7ºC"
Diego García Pérez,66,Córdoba,18238887E,24/02/1960,782484203,"Avenida de Madrid, 2, 8ºB"
Lucía Pérez Álvarez,36,Málaga,57458945Q,30/07/1990,678967030,"Calle del Sol, 6, 3ºC"
Elena López González,45,Sevilla,87049905R,07/02/1981,717873481,"Avenida de Madrid, 113, 8ºD"
Andrés Gómez Muñoz,59,Alicante,55566917H,27/04/1967,741209133,"Calle Nueva, 25, 2ºC"
Sofía Rodríguez Rodríguez,60,Gijón,58354774S,18/11/1966,911815840,"Paseo de la Castellana, 49, 6ºB"
Sofía Álvarez González,54,Alicante,71753848Z,13/12/1972,675125710,"Avenida de la Constitución, 126, 2ºB"
Juan Muñoz Sánchez,39,Barcelona,26253528C,19/12/1987,632770324,"Calle Mayor, 28, 1ºB"
Fernando Hernández Fernández,54,Barcelona,93333320X,13/07/1972,977230896,"Plaza de España, 138, 5ºC"
Juan Jiménez Martínez,71,Bilbao,10389865D,01/04/1955,739048170,"Calle del Sol, 137, 6ºD"
Ana Fernández Sánchez,28,Zaragoza,70095665T,20/04/1998,792370525,"Calle Real, 100, 7ºD"
Diego Jiménez Martín,85,Las Palmas,66740620B,19/10/1941,974961032,"Calle de la Paz, 122, 7ºB"
Paula Muñoz Fernández,54,Málaga,42576190P,21/11/1972,999326321,"Calle Mayor, 69, 7ºD"
Ana González Martínez,21,Valladolid,55088802H,02/04/2005,957487490,"Calle Mayor, 100, 6ºA"
Fernando Ruiz Martín,76,Alicante,99242911Q,23/07/1950,981893868,"Avenida de la Constitución, 54, 7ºA"
Carmen Muñoz Martínez,25,Las Palmas,35857198Z,11/02/2001,915128763,"Calle del Sol, 15, 6ºA"
Miguel Romero Ruiz,53,Sevilla,23056324E,02/11/1973,914559961,"Avenida de Madrid, 46, 5ºC"
Raquel Martínez Rodríguez,81,Palma,41108067R,11/03/1945,753181603,"Avenida de Madrid, 90, 4ºA"
Pedro Ruiz Hernández,86,Sevilla,26561576H,27/12/1940,975784178,"Calle del Sol, 118, 5ºA"
Ana Hernández Gómez,35,Bilbao,78939554E,18/08/1991,785415247,"Calle Mayor, 110, 2ºB"
Javier Sánchez Jiménez,68,Zaragoza,48553905H,21/11/1958,771402449,"Paseo de la Castellana, 9, 8ºB"
Pedro González Pérez,79,Sevilla,79724252D,24/03/1947,727321842,"Calle Real, 68, 6ºA"
Luis Moreno Gómez,84,Murcia,20518155J,10/04/1942,933347551,"Plaza de España, 135, 7ºB"
Lucía Pérez Muñoz,80,Madrid,84493435Z,21/05/1946,633686213,"Calle de la Paz, 41, 4ºA"
Lucía Martínez Moreno,76,Málaga,29923223R,25/01/1950,776637968,"Calle Real, 65, 2ºD"
Juan Díaz Hernández,28,Zaragoza,81622548N,12/11/1998,739255319,"Calle Real, 105, 1ºC"
Andrés García Hernández,23,Murcia,56978503Y,31/10/2003,664395936,"Calle Real, 73, 1ºB"
Pedro Rodríguez Sánchez,74,Las Palmas,16003439B,07/10/1952,785823837,"Calle Mayor, 22, 5ºB"
Marta González Alonso,56,Málaga,58601511X,27/10/1970,917830317,"Calle Mayor, 16, 6ºD"
Diego Álvarez Fernández,47,Zaragoza,48392103K,17/12/1979,663344572,"Paseo de la Castellana, 33, 5ºA"
Carlos González Romero,36,Palma,26378598K,21/12/1990,774939444,"Avenida de Madrid, 7, 2ºA"
Sofía Sánchez Gómez,76,Murcia,22824859F,16/08/1950,963415043,"Avenida de la Constitución, 132, 1ºC"
Marta Gómez Álvarez,28,Zaragoza,76672550H,21/12/1998,675434557,"Calle Ancha, 81, 8ºC"
Pedro Alonso Martín,18,Málaga,54506101B,07/01/2008,671872203,"Plaza de España, 148, 4ºA"
Carlos Moreno García,73,Córdoba,54612399E,26/06/1953,623677779,"Calle Ancha, 115, 5ºC"
Raquel Díaz Martín,85,Las Palmas,34889304H,27/04/1941,718516807,"Calle Ancha, 103, 2ºD"
Ricardo Martínez Álvarez,20,Sevilla,79192255A,26/02/2006,773499545,"Calle Real, 131, 4ºB"
Sofía Álvarez Pérez,45,Sevilla,30430381G,14/07/1981,667656896,"Calle de la Paz, 95, 1ºA"
Marta Sánchez García,58,Bilbao,57537112Y,17/04/1968,616936369,"Avenida de Madrid, 12, 7ºB"
Luis Gómez Rodríguez,77,Málaga,20147628G,19/03/1949,738106320,"Calle Real, 115, 6ºA"
Sofía Sánchez García,42,Barcelona,92616443D,11/01/1984,752740751,"Calle Nueva, 77, 8ºD"
Paula Martínez Muñoz,19,Zaragoza,17955878Y,16/09/2007,793682110,"Plaza de España, 130, 6ºB"
Sofía Jiménez García,86,Valencia,94611920Y,05/01/1940,767852845,"Calle Real, 53, 1ºB"
Raquel Díaz Gómez,39,Madrid,35343737F,23/08/1987,661867005,"Calle Mayor, 45, 2ºD"
Pedro Fernández Alonso,24,Bilbao,49892122M,13/03/2002,694374375,"Calle Real, 75, 1ºB"
Sofía Muñoz Muñoz,81,Córdoba,91698488G,02/03/1945,988670967,"Paseo de la Castellana, 70, 3ºD"
Lucía Martín Gutiérrez,37,Gijón,81674930Y,03/05/1989,719240156,"Calle Mayor, 126, 8ºC"
Carlos Alonso Pérez,75,Palma,38433745W,24/05/1951,632693324,"Calle de la Paz, 104, 3ºB"
Sofía Fernández Álvarez,40,Sevilla,90200425K,01/06/1986,673755180,"Paseo de la Castellana, 117, 1ºC"
Raquel Díaz Muñoz,30,Alicante,57656827L,31/03/1996,956757110,"Avenida de Madrid, 47, 5ºD"
Carlos Sánchez Sánchez,55,Zaragoza,33918521J,16/07/1971,974947695,"Avenida de Madrid, 97, 6ºC"
Juan Ruiz Jiménez,50,Vigo,32161779N,25/08/1976,622162804,"Calle Nueva, 86, 5ºD"
Elena Martínez Álvarez,56,Málaga,85421120A,03/08/1970,787284397,"Plaza de España, 73, 5ºD"
Lucía Romero López,59,Madrid,47801840E,23/05/1967,950968822,"Calle Mayor, 67, 4ºC"
Diego Ruiz López,18,Alicante,52786068C,15/10/2008,975601750,"Calle Ancha, 15, 6ºD"
Lucía Gutiérrez Díaz,57,Córdoba,58023638P,14/11/1969,961512431,"Calle de la Paz, 49, 8ºD"
Fernando Romero Sánchez,59,Zaragoza,55860166Q,20/06/1967,977071510,"Calle del Sol, 124, 6ºC"
Luis Sánchez Muñoz,51,Alicante,54510319F,26/08/1975,745969819,"Calle Mayor, 66, 2ºC"
Fernando Moreno López,49,Sevilla,84744544K,27/01/1977,986107207,"Calle Real, 137, 7ºA"
Javier Díaz García,18,Palma,86937372R,18/04/2008,768071971,"Calle Ancha, 119, 5ºD"
Miguel Díaz Martínez,33,Gijón,91677802Q,17/02/1993,634597424,"Calle Mayor, 35, 2ºB"
Luis Pérez Rodríguez,75,Barcelona,91990949C,24/12/1951,617359821,"Paseo de la Castellana, 85, 7ºB"
Raquel Gómez Pérez,22,Sevilla,99176825S,23/03/2004,987049466,"Calle de la Paz, 47, 1ºD"
Marta Moreno Díaz,19,Vigo,94655456E,12/01/2007,790042362,"Paseo de la Castellana, 14, 2ºA"
Carlos Martín Alonso,72,Córdoba,20348113G,04/07/1954,614523084,"Calle Nueva, 11, 5ºA"
Carmen Álvarez Moreno,21,Valladolid,73317394E,23/06/2005,977372791,"Plaza de España, 124, 4ºB"
Andrés Díaz Díaz,81,Málaga,53363412V,11/07/1945,785030711,"Avenida de la Constitución, 39, 5ºD"
Carmen Martín Álvarez,67,Bilbao,73537290X,28/02/1959,636927940,"Calle Ancha, 47, 4ºC"
Miguel Romero Gutiérrez,68,Madrid,58622977W,10/08/1958,784076416,"Calle de la Paz, 96, 4ºC"
Fernando Sánchez Hernández,64,Córdoba,83251811C,23/04/1962,997378020,"Paseo de la Castellana, 43, 2ºB"
Carmen Martín Rodríguez,18,Vigo,28153468S,02/09/2008,672521841,"Avenida de Madrid, 19, 1ºC"
Javier Martínez Romero,60,Madrid,73191505Q,21/12/1966,692715069,"Avenida de la Constitución, 83, 5ºB"
Sofía Martínez Álvarez,69,Zaragoza,27047904Q,24/12/1957,626012574,"Paseo de la Castellana, 148, 8ºC"
Elena Martín Martín,18,Vigo,65402912B,24/10/2008,999787833,"Avenida de la Constitución, 150, 8ºD"
Paula Ruiz Álvarez,51,Valladolid,14237358A,01/09/1975,612315144,"Avenida de la Constitución, 81, 6ºA"
Sofía Romero Hernández,25,Murcia,38937689L,16/08/2001,672759597,"Paseo de la Castellana, 105, 6ºD"
Paula Hernández Hernández,33,Murcia,62434637Y,09/04/1993,627286307,"Plaza de España, 125, 4ºD"
Sofía Jiménez Gutiérrez,38,Málaga,23245802H,20/11/1988,935427582,"Calle del Sol, 128, 7ºA"
Ricardo Romero Ruiz,58,Murcia,79548737G,05/12/1968,912085557,"Avenida de la Constitución, 86, 4ºB"
Ana Martín Moreno,59,Valencia,67467816A,25/08/1967,656150845,"Calle Mayor, 89, 4ºC"
Marta Muñoz López,26,Zaragoza,63155460F,07/06/2000,622222026,"Avenida de la Constitución, 4, 4ºA"
Sofía Martín Muñoz,54,Valladolid,37408965S,31/10/1972,922604398,"Plaza de España, 74, 7ºB"
Raquel Martín Pérez,82,Córdoba,21972900F,10/08/1944,675207003,"Avenida de Madrid, 7, 2ºB"
Raquel Martín Díaz,30,Valladolid,44251124A,07/06/1996,694845172,"Paseo de la Castellana, 135, 7ºB"
Paula Pérez Jiménez,75,Valencia,93551587M,20/02/1951,628076246,"Avenida de la Constitución, 79, 8ºD"
Andrés Fernández García,70,Palma,64523204K,20/01/1956,974806151,"Paseo de la Castellana, 93, 8ºD"
Lucía Pérez Muñoz,37,Barcelona,79521939P,16/09/1989,634938501,"Calle Nueva, 95, 3ºB"
Paula Hernández Álvarez,80,Málaga,38591836C,21/02/1946,715080652,"Calle Mayor, 31, 7ºD"
Javier Hernández Martínez,62,Sevilla,56195979F,15/02/1964,925894694,"Avenida de la Constitución, 111, 7ºD"
Ricardo Pérez Martínez,21,Málaga,85130377L,02/10/2005,787731672,"Calle Mayor, 67, 2ºD"
Paula López Álvarez,80,Sevilla,75310944E,13/04/1946,941502612,"Avenida de la Constitución, 4, 7ºD"
Carmen Muñoz Jiménez,59,Madrid,76360170X,08/05/1967,980529753,"Calle Real, 79, 5ºC"
Sofía Romero Gutiérrez,24,Gijón,41529483K,03/03/2002,962315164,"Calle Real, 4, 4ºB"
Elena Díaz Díaz,29,Murcia,92965198L,12/03/1997,945321190,"Calle Ancha, 4, 5ºB"
Lucía Ruiz Martín,49,Las Palmas,71022229B,19/02/1977,659211863,"Avenida de la Constitución, 35, 3ºD"
Juan García Hernández,74,Valencia,97891842Z,30/06/1952,962613638,"Calle Nueva, 101, 6ºA"
Paula Gutiérrez Sánchez,26,Vigo,34173771H,19/02/2000,960337669,"Calle del Sol, 123, 1ºC"
Fernando Muñoz Álvarez,24,Gijón,20313120J,01/06/2002,971113928,"Plaza de España, 120, 2ºC"
Elena Fernández Díaz,67,Zaragoza,32359686V,03/11/1959,774224464,"Calle Mayor, 10, 4ºC"
Sofía Martínez Muñoz,84,Barcelona,13287609J,23/08/1942,969779366,"Calle Nueva, 148, 5ºA"
Andrés Romero Fernández,19,Málaga,84148726M,10/10/2007,986819846,"Calle Nueva, 36, 3ºB"
Lucía García Martín,53,Gijón,21723494J,15/02/1973,652451480,"Calle Nueva, 85, 8ºD"
Miguel Jiménez Ruiz,27,Valencia,47767313Q,17/04/1999,695279207,"Calle Nueva, 149, 5ºC"
Diego Álvarez Gómez,75,Alicante,20902456Q,30/04/1951,613538948,"Calle Ancha, 122, 7ºC"
Miguel Martín Alonso,76,Córdoba,11013325F,27/07/1950,988784360,"Plaza de España, 108, 4ºA"
Raquel Martín Rodríguez,44,Vigo,12789739Y,23/09/1982,740418598,"Avenida de Madrid, 67, 4ºA"
Javier Romero Rodríguez,39,Las Palmas,61239342Z,22/03/1987,790602094,"Calle Mayor, 31, 6ºD"
Sofía González Alonso,80,Palma,52968783V,20/06/1946,666414776,"Calle Real, 51, 8ºB"
Ana Gutiérrez Fernández,18,Palma,64941753T,16/01/2008,764036753,"Calle Mayor, 105, 8ºB"
Elena Martínez Alonso,50,Las Palmas,72204274Z,28/09/1976,745846844,"Paseo de la Castellana, 116, 6ºB"
María Pérez Martínez,33,Málaga,61390528V,25/03/1993,753891303,"Calle Ancha, 146, 2ºD"
Marta Pérez Gómez,48,Alicante,33579685A,16/01/1978,798922423,"Calle Ancha, 5, 5ºB"
Miguel Rodríguez Martín,58,Barcelona,80818602K,02/10/1968,653424659,"Plaza de España, 85, 6ºD"
Luis Moreno Moreno,54,Barcelona,83642769X,21/11/1972,660403107,"Calle del Sol, 72, 5ºC"
María Martín Gómez,66,Valencia,14402241X,04/06/1960,973718527,"Calle Real, 149, 1ºA"
Andrés Gutiérrez González,37,Valladolid,47142141Z,05/05/1989,986827751,"Calle Nueva, 40, 3ºC"
Ricardo Martínez Moreno,44,Córdoba,33844859D,25/06/1982,688257142,"Calle Ancha, 14, 4ºD"
Luis Ruiz Jiménez,72,Las Palmas,29600664H,23/06/1954,741826523,"Paseo de la Castellana, 56, 5ºB"
Elena Pérez González,26,Sevilla,81456946B,15/04/2000,734643153,"Avenida de Madrid, 2, 5ºA"
Andrés Gómez Jiménez,37,Palma,51017345Q,14/09/1989,667158154,"Paseo de la Castellana, 52, 7ºC"
Marta Álvarez González,29,Madrid,37909734Y,25/02/1997,618403886,"Calle Real, 40, 5ºC"
Marta Díaz Muñoz,58,Murcia,90328206A,28/05/1968,739885637,"Calle Real, 50, 4ºB"
Isabel Martínez Moreno,42,Córdoba,69263774Y,09/12/1984,683882093,"Avenida de Madrid, 63, 7ºC"
Sofía García Álvarez,68,Alicante,57992737G,18/08/1958,944406825,"Plaza de España, 64, 5ºA"
Elena Alonso Gómez,24,Palma,42736281D,02/06/2002,991374110,"Plaza de España, 115, 5ºC"
Miguel Rodríguez Álvarez,72,Córdoba,24297372P,15/03/1954,791610261,"Calle Real, 119, 5ºA"
Javier Fernández Ruiz,51,Las Palmas,78430052N,17/06/1975,677722113,"Calle Mayor, 55, 5ºA"
Luis Martín Martín,26,Madrid,16430980E,19/06/2000,666401993,"Calle Real, 109, 1ºB"
Fernando Muñoz Martín,45,Barcelona,73152117Q,24/08/1981,935724345,"Calle del Sol, 106, 6ºC"
Diego González Muñoz,68,Vigo,12434404S,10/11/1958,920249310,"Plaza de España, 57, 2ºA"
María Moreno Álvarez,42,Málaga,91560433X,01/03/1984,755410776,"Calle Ancha, 1, 5ºC"
Carlos López Díaz,23,Valencia,59093336P,03/02/2003,798062120,"Avenida de Madrid, 84, 4ºC"
Miguel Martínez López,86,Madrid,63621892B,04/04/1940,795475689,"Plaza de España, 131, 8ºC"
María Gutiérrez Alonso,71,Málaga,75642463K,11/08/1955,736620981,"Calle del Sol, 84, 5ºC"
Fernando Pérez González,40,Palma,49393100S,08/11/1986,625524696,"Calle del Sol, 78, 6ºD"
Ana Díaz Ruiz,64,Palma,81510669F,05/12/1962,931081073,"Calle Real, 104, 2ºC"
Elena López Muñoz,47,Vigo,18322275G,30/03/1979,791576494,"Calle del Sol, 110, 2ºA"
Pedro Fernández Rodríguez,55,Málaga,15187126P,24/07/1971,682308062,"Calle Ancha, 116, 8ºD"
Carmen López Ruiz,31,Valencia,92137144S,18/08/1995,959235961,"Calle Real, 127, 2ºD"
Diego Rodríguez Sánchez,61,Málaga,69083624C,04/11/1965,915453847,"Calle Ancha, 61, 6ºA"
Miguel Alonso López,69,Las Palmas,46185874K,28/09/1957,687324663,"Avenida de la Constitución, 122, 6ºD"
Elena Alonso Martínez,37,Gijón,76849675W,02/07/1989,613438321,"Plaza de España, 142, 3ºB"
Marta Moreno Romero,42,Valladolid,63788627Y,30/11/1984,623216842,"Calle del Sol, 73, 8ºB"
Ricardo Hernández Moreno,51,Córdoba,76257785V,06/03/1975,786210023,"Calle Mayor, 62, 7ºC"
Miguel Muñoz Rodríguez,81,Córdoba,85268239Z,29/06/1945,739643906,"Calle Nueva, 44, 6ºC"
Diego Pérez Martínez,48,Alicante,64310527D,24/07/1978,741535542,"Paseo de la Castellana, 92, 5ºD"
Juan Hernández Muñoz,37,Valencia,63981050L,31/08/1989,627553519,"Avenida de la Constitución, 11, 1ºA"
Ricardo Gutiérrez Jiménez,80,Sevilla,92403480X,14/10/1946,745590857,"Paseo de la Castellana, 63, 2ºA"
Isabel Álvarez Gómez,55,Alicante,53318909S,30/05/1971,710034666,"Calle Real, 74, 7ºA"
Fernando García Jiménez,53,Alicante,40279632D,11/02/1973,964800685,"Calle Nueva, 53, 1ºD"
Diego Díaz Martín,29,Valladolid,95951418G,21/06/1997,627605283,"Calle Mayor, 108, 5ºC"
Marta García Gutiérrez,61,Murcia,18022611P,27/06/1965,911120825,"Calle Ancha, 66, 2ºB"
Luis Gutiérrez López,27,Sevilla,39237136T,07/09/1999,987428122,"Calle Mayor, 28, 1ºD"
Diego López Muñoz,71,Gijón,19407728A,09/03/1955,979982523,"Avenida de Madrid, 88, 4ºC"
Isabel López Álvarez,31,Palma,28462819T,04/10/1995,988140839,"Calle Ancha, 48, 6ºA"
Marta Sánchez Díaz,52,Valladolid,60038670A,25/07/1974,992154169,"Calle Real, 77, 1ºC"
Lucía Rodríguez López,40,Valencia,67572660W,07/01/1986,618375216,"Calle de la Paz, 145, 4ºC"
Isabel Pérez Moreno,53,Alicante,34873392F,30/11/1973,638993666,"Calle de la Paz, 19, 1ºD"
Marta Jiménez Romero,26,Valencia,88787944Y,25/04/2000,996483521,"Plaza de España, 14, 5ºB"
Diego Romero Hernández,65,Madrid,31307642C,05/06/1961,694147120,"Paseo de la Castellana, 93, 3ºA"
Elena García Martínez,22,Barcelona,10782753K,27/09/2004,971980590,"Calle Real, 66, 3ºB"
Lucía González Gutiérrez,37,Vigo,92734736D,22/03/1989,941210662,"Calle del Sol, 17, 7ºC"
Miguel Gómez Rodríguez,34,Barcelona,33354906W,03/01/1992,767307154,"Avenida de Madrid, 52, 6ºC"
Fernando Álvarez Gutiérrez,25,Bilbao,35696889Q,13/04/2001,757843396,"Calle Real, 84, 4ºC"
Fernando Moreno Gómez,19,Valencia,30406430G,10/03/2007,646452858,"Calle Mayor, 37, 1ºD"
Carlos Moreno Gutiérrez,27,Valencia,18382365H,16/10/1999,696325556,"Calle del Sol, 104, 5ºC"
Juan López Jiménez,32,Valencia,99184150N,20/05/1994,647646557,"Calle Nueva, 120, 5ºD"
Juan Jiménez González,68,Murcia,21202170J,01/02/1958,620717639,"Calle Nueva, 17, 1ºD"
Juan Muñoz López,34,Córdoba,88057218E,12/08/1992,622763051,"Calle Real, 61, 4ºC"
Juan Ruiz Gutiérrez,36,Murcia,82864380S,12/10/1990,782925663,"Calle Mayor, 144, 3ºC"
Pedro Jiménez Álvarez,48,Murcia,51810259W,22/10/1978,759144991,"Calle de la Paz, 97, 8ºB"
Pedro González Martín,41,Barcelona,75913627A,01/11/1985,971509649,"Avenida de la Constitución, 57, 4ºD"
Miguel Sánchez Hernández,23,Valladolid,89087188Q,28/04/2003,740216430,"Calle Real, 32, 2ºA"
Javier Pérez Gutiérrez,29,Málaga,10933441T,16/02/1997,624427415,"Calle Mayor, 16, 3ºC"
Fernando Ruiz López,55,Córdoba,37130507F,21/01/1971,654219153,"Avenida de la Constitución, 112, 4ºC"
Carmen Hernández Jiménez,60,Alicante,97215220N,11/02/1966,737566376,"Calle Nueva, 140, 1ºA"
Diego Pérez Martín,62,Bilbao,45409322N,31/03/1964,977495830,"Plaza de España, 44, 2ºD"
María Hernández Sánchez,82,Gijón,46740187S,30/10/1944,674382318,"Calle Real, 130, 3ºA"
Diego Jiménez Pérez,54,Murcia,55599602Z,31/05/1972,639105965,"Avenida de la Constitución, 133, 1ºD"
